KillerID,AgeFirstKill,AgeLastKill,YearBorn,Motive,Sex,Race,Sentence,InsanityPlea
1629,19,19,1951,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1630,31,32,1961,Enjoyment or power,Male,White,Death penalty,Didn't plead
1631,19,26,1946,Enjoyment or power,Male,White,Life,Didn't plead
1632,46,46,1950,Enjoyment or power,Male,White,Death penalty,Didn't plead
1633,21,23,1960,Enjoyment or power,Male,White,Life,Didn't plead
1634,19,30,1950,Enjoyment or power,Male,White,Death penalty,Didn't plead
1635,20,20,1950,Anger (including mission-oriented killers),Male,Black,Died before trial,Didn't plead
1636,22,38,1945,Enjoyment or power,Male,White,Life,Didn't plead
1637,20,22,1964,Robbery or financial gain,Male,White,Life,Didn't plead
1638,29,29,1946,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1639,31,33,1950,Enjoyment or power,Male,White,Life,Didn't plead
1640,34,35,1955,Enjoyment or power,Female,White,Death penalty,Didn't plead
1641,28,28,1942,Enjoyment or power,Male,White,Life,Didn't plead
1642,25,28,1962,Unknown,Male,Black,NA,Didn't plead
1643,25,33,1942,Robbery or financial gain,Male,Black,NA,Didn't plead
1644,27,27,1938,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1645,15,19,1947,Enjoyment or power,Male,Black,Life,Unsuccessful
1646,32,32,1948,Robbery or financial gain,Male,White,Death penalty,Unsuccessful
1647,17,17,1946,Unknown,Male,Black,NA,NA
1648,21,33,1971,Enjoyment or power,Male,Black,Life,Didn't plead
1649,20,27,1953,Robbery or financial gain,Male,Black,NA,Didn't plead
1650,17,24,1960,Unknown,Male,Black,NA,NA
1651,17,17,1946,Enjoyment or power,Male,Black,Life,Didn't plead
1652,30,35,1965,Unknown,Male,Black,Life,Didn't plead
1653,25,34,1943,Robbery or financial gain,Male,Black,Life,Didn't plead
1654,29,29,1939,Robbery or financial gain,Male,Black,Life,Didn't plead
1655,33,58,1953,Anger (including mission-oriented killers),Male,Black,NA,NA
1656,23,25,1983,Robbery or financial gain,Male,Black,NA,Didn't plead
1657,32,32,1955,Robbery or financial gain,Male,White,Life,Didn't plead
1658,37,37,1961,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1659,47,54,1947,Enjoyment or power,Male,Black,NA,Didn't plead
1660,41,41,1925,Robbery or financial gain,Male,White,Not competent,Didn't plead
1661,21,21,1945,Robbery or financial gain,Female,White,Life,Didn't plead
1662,33,45,1950,Enjoyment or power,Male,White,Life,Didn't plead
1663,23,23,1922,Robbery or financial gain,Male,White,Died before trial,Didn't plead
1664,36,51,1937,Robbery or financial gain,Female,White,Life,Didn't plead
1665,18,18,1969,Robbery or financial gain,Male,Black,Life,Didn't plead
1666,25,25,1976,Robbery or financial gain,Male,Black,Life,Didn't plead
1667,36,36,1935,Robbery or financial gain,Male,White,Life,Didn't plead
1668,28,28,1951,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1669,27,40,1965,Enjoyment or power,Male,Black,Life,Didn't plead
1670,21,22,1964,Robbery or financial gain,Male,Black,Death penalty,Unsuccessful
1671,57,67,1940,Anger (including mission-oriented killers),Male,Black,NA,Didn't plead
1672,39,39,1959,Robbery or financial gain,Male,Black,Life,Didn't plead
1673,22,22,1975,Robbery or financial gain,Male,Black,Life,Didn't plead
1674,24,24,1973,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1675,27,30,1950,Anger (including mission-oriented killers),Male,White,Death penalty,Unsuccessful
1676,25,26,1951,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1677,34,35,1932,Robbery or financial gain,Female,White,Not guilty by reason of insanity,Successful
1678,25,32,1961,Enjoyment or power,Male,White,Life,Didn't plead
1679,26,27,1950,Anger (including mission-oriented killers),Male,Black,Death penalty,Didn't plead
1680,24,24,1964,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1681,34,34,1952,Enjoyment or power,Male,Black,Life,Didn't plead
1682,23,28,1954,Revenge or vigilante justice,Female,White,Death penalty,Didn't plead
1683,27,33,1924,Robbery or financial gain,Female,White,Guilty,NA
1684,25,25,1963,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1685,39,40,1961,Enjoyment or power,Male,Hispanic,Death penalty,Didn't plead
1686,43,53,1941,Robbery or financial gain,Male,White,Life,Didn't plead
1687,27,28,1959,Enjoyment or power,Male,Black,Life,Didn't plead
1688,34,34,1947,Enjoyment or power,Male,White,Life,Didn't plead
1689,24,25,1974,Enjoyment or power,Male,Black,Life,Didn't plead
1690,23,25,1956,Enjoyment or power,Male,Black,Life,Didn't plead
1691,21,21,1975,Robbery or financial gain,Female,White,Life,Didn't plead
1692,21,24,1976,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1693,23,23,1972,Robbery or financial gain,Male,Black,Life,Didn't plead
1694,24,31,1962,Anger (including mission-oriented killers),Male,Black,Death penalty,Unsuccessful
1695,43,66,1920,Unknown,Male,Black,Life,Didn't plead
1696,31,32,1962,Robbery or financial gain,Male,Black,NA,Didn't plead
1697,27,27,1966,Revenge or vigilante justice,Male,Black,Life,Didn't plead
1698,23,23,1971,Unknown,Male,Black,Life,Didn't plead
1699,28,36,1877,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1700,42,42,1958,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1701,28,28,1966,Robbery or financial gain,Male,Black,Life,Didn't plead
1702,35,35,1959,Robbery or financial gain,Male,Black,Life,Didn't plead
1703,28,31,1971,Unknown,Male,Black,Death penalty,Didn't plead
1704,34,34,1954,Anger (including mission-oriented killers),Male,White,Death penalty,Didn't plead
1705,40,40,1944,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1706,22,33,1974,Robbery or financial gain,Male,Black,Life,Didn't plead
1707,27,33,1967,Robbery or financial gain,Female,White,Life,Didn't plead
1708,22,29,1971,Enjoyment or power,Male,White,Life,Unsuccessful
1709,45,45,1875,Unknown,Male,Black,NA,Didn't plead
1710,24,43,1956,Enjoyment or power,Male,Black,Life,Didn't plead
1711,25,36,1961,Enjoyment or power,Male,White,Life,Didn't plead
1712,30,30,1930,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1713,20,20,1976,Robbery or financial gain,Male,White,Life,Didn't plead
1714,23,23,1938,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1715,51,52,1946,Enjoyment or power,Male,White,Life,Didn't plead
1716,25,25,1972,Robbery or financial gain,Male,White,Life,Didn't plead
1717,30,30,1950,Unknown,Female,White,Died before trial,Didn't plead
1718,34,38,1959,Enjoyment or power,Male,White,Life,Didn't plead
1719,25,26,1936,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1720,44,44,1935,Anger (including mission-oriented killers),Male,Black,Death penalty,Didn't plead
1721,29,29,1966,Escape or avoid arrest,Female,White,Death penalty,Didn't plead
1722,28,28,1965,Escape or avoid arrest,Male,White,Death penalty,Didn't plead
1723,18,18,1960,Enjoyment or power,Male,White,Life,Didn't plead
1724,25,25,1966,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1725,28,28,1958,Enjoyment or power,Male,Black,Life,Didn't plead
1726,32,32,1953,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1727,30,32,1955,Robbery or financial gain,Male,White,Death penalty,Unsuccessful
1728,30,34,1891,Robbery or financial gain,Female,White,Life,Didn't plead
1729,31,44,1879,Escape or avoid arrest,Male,Black,Life,Didn't plead
1730,25,25,1981,"Mental illness (including paranoia, visionary or Munchausen's syndrome)",Male,White,Life,Didn't plead
1731,34,35,1948,Enjoyment or power,Male,White,Life,Didn't plead
1732,34,35,1946,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1733,39,40,1948,Enjoyment or power,Male,White,Life,Didn't plead
1734,30,55,1939,Revenge or vigilante justice,Male,White,Death penalty,Didn't plead
1735,30,32,1917,Robbery or financial gain,Female,White,Death penalty,Unsuccessful
1736,40,41,1963,Enjoyment or power,Male,White,Life,Didn't plead
1737,19,24,1954,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1738,25,25,1947,Anger (including mission-oriented killers),Male,Black,Died before trial,Didn't plead
1739,15,29,1964,Enjoyment or power,Male,White,Death penalty,Didn't plead
1740,54,61,1922,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1741,24,24,1954,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1742,46,63,1932,Unknown,Male,White,Life,Didn't plead
1743,26,31,1965,Enjoyment or power,Male,Black,Life,Didn't plead
1744,28,28,1961,Enjoyment or power,Male,White,Death penalty,Didn't plead
1745,28,28,1955,Enjoyment or power,Male,Black,Death penalty,Unsuccessful
1746,26,28,1960,"Mental illness (including paranoia, visionary or Munchausen's syndrome)",Female,White,Life,Didn't plead
1747,32,37,1960,Enjoyment or power,Male,Black,Life,Didn't plead
1748,35,37,1941,Enjoyment or power,Male,White,Life,Didn't plead
1749,29,31,1954,Enjoyment or power,Male,White,Life,Didn't plead
1750,23,32,1954,Enjoyment or power,Male,White,Life,Didn't plead
1751,27,27,1899,Escape or avoid arrest,Male,White,Unknown,Didn't plead
1752,32,34,1949,Enjoyment or power,Male,White,Death penalty,Didn't plead
1753,20,24,1969,Enjoyment or power,Male,Black,Life,Unsuccessful
1754,35,37,1912,Anger (including mission-oriented killers),Male,Hispanic,Death penalty,Unsuccessful
1755,19,34,1953,"Mental illness (including paranoia, visionary or Munchausen's syndrome)",Female,White,Not prosecuted,Didn't plead
1756,32,38,1939,Enjoyment or power,Male,White,Death penalty,Unsuccessful
1757,20,34,1956,Revenge or vigilante justice,Female,Hispanic,Death penalty,Didn't plead
1758,49,51,1870,Robbery or financial gain,Female,White,Life,Didn't plead
1759,29,30,1951,"Gang, cult or organised crime",Male,White,Life,Unsuccessful
1760,33,33,1953,Enjoyment or power,Male,White,Life,Didn't plead
1761,33,33,1961,Anger (including mission-oriented killers),Male,Black,Life,Unsuccessful
1762,32,32,1967,Enjoyment or power,Male,Black,Life,Didn't plead
1763,52,56,1922,Enjoyment or power,Male,White,Not competent,Unsuccessful
1764,39,47,1857,Robbery or financial gain,Female,White,Not prosecuted,Didn't plead
1765,22,25,1969,Robbery or financial gain,Male,Black,Death penalty,Unsuccessful
1766,40,43,1930,Enjoyment or power,Male,Black,Not guilty by reason of insanity,Successful
1767,18,19,1926,Enjoyment or power,Male,White,Life,Didn't plead
1768,25,28,1970,Robbery or financial gain,Male,Black,Life,Didn't plead
1769,35,35,1969,Enjoyment or power,Male,Black,Life,Didn't plead
1770,22,22,1950,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1771,27,38,1945,Enjoyment or power,Male,Black,Life,Didn't plead
1772,24,26,1984,Enjoyment or power,Male,Black,NA,Didn't plead
1773,33,33,1950,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1774,22,22,1959,"Gang, cult or organised crime",Male,White,Death penalty,Didn't plead
1775,25,25,1956,"Gang, cult or organised crime",Male,White,Life,Didn't plead
1776,34,39,1942,Enjoyment or power,Male,White,Life,Didn't plead
1777,22,29,1943,Enjoyment or power,Male,Black,Life,Didn't plead
1778,31,31,1957,Robbery or financial gain,Male,Black,Life,Didn't plead
1779,33,37,1933,Enjoyment or power,Male,White,Life,Didn't plead
1780,28,30,1944,Enjoyment or power,Male,White,Life,Didn't plead
1781,37,37,1961,Enjoyment or power,Male,Black,Life,Didn't plead
1782,22,51,1952,Enjoyment or power,Male,White,Life,Didn't plead
1783,19,19,1933,Robbery or financial gain,Male,White,Life,Unsuccessful
1784,39,39,1954,Enjoyment or power,Male,White,Life,Didn't plead
1785,24,24,1948,Anger (including mission-oriented killers),Male,Black,Died before trial,Didn't plead
1786,21,26,1951,Enjoyment or power,Male,White,Life,Didn't plead
1787,27,33,1861,Enjoyment or power,Male,White,Death penalty,Didn't plead
1788,20,20,1952,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1789,22,28,1953,Enjoyment or power,Male,White,Death penalty,Didn't plead
1790,34,34,1940,Robbery or financial gain,Male,White,Life,NA
1791,45,46,1944,Enjoyment or power,Male,White,Life,Didn't plead
1792,32,32,1940,Enjoyment or power,Male,White,Life,Didn't plead
1793,26,29,1968,Enjoyment or power,Male,White,Death penalty,Unsuccessful
1794,31,61,1892,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1795,30,33,1960,"Mental illness (including paranoia, visionary or Munchausen's syndrome)",Female,White,Guilty,Didn't plead
1796,30,30,1977,Robbery or financial gain,Male,White,Life,Didn't plead
1797,25,28,1957,Convenience (didn't want children/spouse),Female,White,Life,Didn't plead
1798,22,22,1959,"Gang, cult or organised crime",Male,White,Death penalty,Didn't plead
1799,32,32,1949,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1800,23,23,1955,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1801,28,28,1973,Enjoyment or power,Male,Black,Life,Didn't plead
1802,25,25,1953,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1803,35,36,1956,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1804,29,30,1938,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1805,36,37,1963,Enjoyment or power,Male,Black,Died before trial,Didn't plead
1806,35,52,1955,Enjoyment or power,Male,Black,Died before trial,Didn't plead
1807,30,30,1957,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1808,23,32,1941,Unknown,Male,White,Unknown,NA
1809,42,43,1940,Enjoyment or power,Male,White,Life,Didn't plead
1810,17,17,1955,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1811,32,33,1966,Enjoyment or power,Male,Black,NA,Didn't plead
1812,29,31,1884,Unknown,Male,Black,Life,Didn't plead
1813,21,47,1964,Unknown,Male,Black,Life,Didn't plead
1814,29,30,1924,Robbery or financial gain,Male,Black,NA,Didn't plead
1815,26,38,1949,Revenge or vigilante justice,Male,Black,Death penalty,Didn't plead
1816,21,24,1959,Anger (including mission-oriented killers),Male,Black,Death penalty,Didn't plead
1817,24,57,1944,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1818,23,28,1957,Enjoyment or power,Male,Black,Life,Didn't plead
1819,33,35,1953,Robbery or financial gain,Female,Black,Death penalty,Didn't plead
1820,24,33,1968,Anger (including mission-oriented killers),Male,Hispanic,Life,Didn't plead
1821,28,29,1948,Enjoyment or power,Male,White,Death penalty,Didn't plead
1822,34,37,1960,Enjoyment or power,Male,Black,Died before trial,Didn't plead
1823,13,19,1972,Robbery or financial gain,Male,White,Life,Didn't plead
1824,19,22,1986,Unknown,Male,Hispanic,NA,NA
1825,27,27,1976,Robbery or financial gain,Female,Black,Life,Didn't plead
1826,28,28,1976,Robbery or financial gain,Female,Black,Life,Didn't plead
1827,21,21,1978,Anger (including mission-oriented killers),Male,White,Died before trial,Didn't plead
1828,39,39,1948,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1829,36,52,1942,Enjoyment or power,Male,White,Life,Didn't plead
1830,41,50,1944,Enjoyment or power,Male,White,Died before trial,Didn't plead
1831,22,31,1973,Enjoyment or power,Male,White,Life,Didn't plead
1832,33,48,1929,Revenge or vigilante justice,Male,White,Life,Didn't plead
1833,42,42,1953,Enjoyment or power,Male,Black,Life,Didn't plead
1834,23,23,1960,Enjoyment or power,Female,Black,Death penalty,Didn't plead
1835,28,34,1951,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1836,28,29,1961,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1837,20,20,1970,Robbery or financial gain,Male,White,Life,Didn't plead
1838,27,27,1917,Enjoyment or power,Male,White,Death penalty,Didn't plead
1839,27,27,1936,Robbery or financial gain,Male,White,Life,Unsuccessful
1840,46,51,1872,Robbery or financial gain,Female,White,Life,Didn't plead
1841,23,25,1960,Robbery or financial gain,Female,Black,Life,Didn't plead
1842,20,32,1951,Enjoyment or power,Male,White,Death penalty,Didn't plead
1843,41,45,1959,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1844,28,28,1956,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1845,32,33,1922,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1846,42,42,1944,Escape or avoid arrest,Male,White,Died before trial,Didn't plead
1847,37,37,1963,Unknown,Male,Black,Life,NA
1848,25,26,1972,Enjoyment or power,Male,White,Life,Didn't plead
1849,45,45,1960,Escape or avoid arrest,Male,Black,Died before trial,Didn't plead
1850,25,26,1958,Angel of Death,Male,White,Life,Didn't plead
1851,23,26,1953,"Gang, cult or organised crime",Male,Black,Guilty,Didn't plead
1852,24,24,1966,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1853,20,20,1944,Robbery or financial gain,Male,White,Life,Unsuccessful
1854,33,33,1940,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1855,31,31,1960,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1856,30,30,1956,"Gang, cult or organised crime",Male,White,Life,Didn't plead
1857,20,28,1966,Enjoyment or power,Male,White,Life,Didn't plead
1858,25,33,1950,Unknown,Male,White,Life,Didn't plead
1859,38,39,1895,Escape or avoid arrest,Male,Black,Died before trial,Didn't plead
1860,20,20,1970,Robbery or financial gain,Female,White,Life,Didn't plead
1861,47,58,1952,Anger (including mission-oriented killers),Male,White,Life,Didn't plead
1862,29,30,1972,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1863,44,54,1956,Anger (including mission-oriented killers),Male,White,Death penalty,Didn't plead
1864,30,30,1899,Enjoyment or power,Male,Black,Death penalty,Didn't plead
1865,24,39,1968,Unknown,Male,Black,Life,Didn't plead
1866,23,26,1982,Anger (including mission-oriented killers),Male,Black,Life,Didn't plead
1867,20,25,1972,Anger (including mission-oriented killers),Male,White,Death penalty,Didn't plead
1868,32,33,1964,Angel of Death,Female,White,NA,Didn't plead
1869,23,55,1951,Enjoyment or power,Male,White,Life,Didn't plead
1870,22,23,1957,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1871,29,29,1959,Robbery or financial gain,Male,White,Death penalty,Didn't plead
1872,21,21,1979,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1873,26,26,1974,Robbery or financial gain,Male,Black,Death penalty,Didn't plead
1874,51,55,1935,Enjoyment or power,Male,Black,Life,Didn't plead
1875,48,48,1947,Convenience (didn't want children/spouse),Female,White,Life,Didn't plead
